code_name,n,k,p,num_trials,num_frame_errors,fer,fer_ci_low,fer_ci_high,num_sym_errors,ser,elapsed_sec
tiny,18,10,0.001,2000,0,0.0,0.0,0.0019171176005129348,0,0.0,0.8768873820000067
tiny,18,10,0.003,2000,0,0.0,0.0,0.0019171176005129348,0,0.0,0.9960220480000004
tiny,18,10,0.005,2000,0,0.0,0.0,0.0019171176005129348,0,0.0,0.9759438880000033
tiny,18,10,0.01,1500,4,0.0026666666666666666,0.0010374714675854256,0.006836762095311092,12,0.00044444444444444447,0.9294538119999913
tiny,18,10,0.02,1500,10,0.006666666666666667,0.0036251766197554543,0.012228620748265218,37,0.0013703703703703703,1.1225614519999993
tiny,18,10,0.04,1000,30,0.03,0.021093603189697094,0.04250368148151,129,0.007166666666666667,1.7474636500000003
tiny,18,10,0.06,1000,66,0.066,0.052212125206787474,0.08310962276619951,267,0.014833333333333334,3.2347160230000043
tiny,18,10,0.1,500,118,0.236,0.20088068978132578,0.27514510880299115,487,0.05411111111111111,5.784720161999999
tiny,18,10,0.15,300,145,0.48333333333333334,0.4273534010031743,0.5397347133300835,592,0.10962962962962963,6.763661061000008
tiny,18,10,0.2,300,216,0.72,0.6666550937163631,0.7677817970846332,938,0.1737037037037037,9.410859971999997
small,72,42,0.001,2000,0,0.0,0.0,0.0019171176005129348,0,0.0,2.835234189999994
small,72,42,0.003,2000,0,0.0,0.0,0.0019171176005129348,0,0.0,3.019815448999992
small,72,42,0.005,2000,0,0.0,0.0,0.0019171176005129348,0,0.0,2.5370956390000003
small,72,42,0.01,1500,1,0.0006666666666666666,0.00011768970416585435,0.0037667619561685853,25,0.0002314814814814815,2.111254266000003
small,72,42,0.02,1500,3,0.002,0.0006803961574046876,0.005863910104637805,46,0.00042592592592592595,2.649706818999988
small,72,42,0.04,1000,11,0.011,0.006153110089114165,0.01958959672837577,80,0.0011111111111111111,3.8395428890000005
small,72,42,0.06,1000,59,0.059,0.04601408784574914,0.07536123670744732,448,0.006222222222222222,7.836982312999993
small,72,42,0.1,500,144,0.288,0.25004260722886124,0.3291902310282418,1347,0.03741666666666667,12.99784816899998
small,72,42,0.15,300,213,0.71,0.6562534723961281,0.7584362870048228,2711,0.12550925925925926,20.519222544
small,72,42,0.2,300,286,0.9533333333333334,0.9232019646862172,0.9720013254491692,4208,0.1948148148148148,37.71845599599999
medium,108,58,0.001,2000,0,0.0,0.0,0.0019171176005129348,0,0.0,3.5504417919999867
medium,108,58,0.003,2000,0,0.0,0.0,0.0019171176005129348,0,0.0,3.5472191109999756
medium,108,58,0.005,2000,0,0.0,0.0,0.0019171176005129348,0,0.0,3.6895733039999925
medium,108,58,0.01,1500,0,0.0,0.0,0.002554524359480413,0,0.0,2.890095916000007
medium,108,58,0.02,1500,0,0.0,0.0,0.002554524359480413,0,0.0,3.843727627000021
medium,108,58,0.04,1000,4,0.004,0.0015565629678934295,0.010239720429805971,26,0.00024074074074074075,5.562304982000001
medium,108,58,0.06,1000,38,0.038,0.027808845539615407,0.05172720875420944,337,0.0031203703703703706,14.200309207999993
medium,108,58,0.1,500,97,0.194,0.16172591779703405,0.2309403487438788,1021,0.018907407407407407,24.94205195799998
medium,108,58,0.15,300,217,0.7233333333333334,0.6701290366526463,0.7708902312816984,3325,0.10262345679012345,45.77478740999999
medium,108,58,0.2,300,291,0.97,0.943976849008093,0.9841383267940355,6342,0.19574074074074074,61.52391855799999
large,144,74,0.001,2000,0,0.0,0.0,0.0019171176005129348,0,0.0,4.632442276999996
large,144,74,0.003,2000,0,0.0,0.0,0.0019171176005129348,0,0.0,4.655771152
large,144,74,0.005,2000,0,0.0,0.0,0.0019171176005129348,0,0.0,5.1395168520000425
large,144,74,0.01,1500,0,0.0,0.0,0.002554524359480413,0,0.0,4.062634967999998
large,144,74,0.02,1500,2,0.0013333333333333333,0.0003657166195980251,0.00484866234159044,9,4.1666666666666665e-05,6.158844371999976
large,144,74,0.04,1000,13,0.013,0.0076127471221297755,0.022114652101014598,84,0.0005833333333333334,10.358258381000041
large,144,74,0.06,1000,43,0.043,0.03207848108830104,0.057419304219659906,326,0.002263888888888889,22.05040950800003
large,144,74,0.1,500,108,0.216,0.18216716501825247,0.2541636183073006,1281,0.017791666666666667,36.920235554000044
large,144,74,0.15,300,203,0.6766666666666666,0.6217905083935192,0.7270754796739475,3724,0.0862037037037037,56.51967182999999
large,144,74,0.2,300,291,0.97,0.943976849008093,0.9841383267940355,8062,0.18662037037037038,81.82099804799998
