code_name,n,k,p,num_trials,num_frame_errors,fer,fer_ci_low,fer_ci_high,num_sym_errors,ser,elapsed_sec
small,72,42,0.08,1500,234,0.156,0.13851817065802852,0.175239342101294,1986,0.01838888888888889,20.5042555
small,72,42,0.1,2000,560,0.28,0.26075787015650537,0.3000856615877204,5384,0.03738888888888889,46.073704200000066
small,72,42,0.11,2000,770,0.385,0.363913799938108,0.40652713711001,7787,0.05407638888888889,86.68082220000042
small,72,42,0.12,2000,914,0.457,0.4352709380480115,0.4788939340656327,9823,0.06821527777777778,232.61506549999922
small,72,42,0.13,2000,1065,0.5325,0.5105914508261689,0.5542839365297978,11565,0.0803125,252.16109250000045
small,72,42,0.14,2000,1272,0.636,0.6146706134805525,0.6568079305321081,14720,0.10222222222222223,139.44393970000056
small,72,42,0.15,2000,1443,0.7215,0.7014437100852082,0.7407070068177646,17755,0.12329861111111111,223.77071700000033
small,72,42,0.16,2000,1510,0.755,0.7356734648498905,0.7733488051738479,19041,0.13222916666666668,276.8083492000005
medium,108,58,0.08,1500,154,0.10266666666666667,0.08830737089501574,0.1190559577959847,1531,0.009450617283950618,65.42968939999992
medium,108,58,0.1,2000,421,0.2105,0.19319686101952466,0.22891315007117236,4512,0.020888888888888887,199.64498420000018
medium,108,58,0.11,2000,594,0.297,0.2773784687881505,0.31739988095765775,7257,0.03359722222222222,253.04411410000012
medium,108,58,0.12,2000,753,0.3765,0.35552131916835306,0.39795220887897365,9779,0.045273148148148146,292.12267340000017
medium,108,58,0.13,2000,991,0.4955,0.47361706123498704,0.5174001928234175,13580,0.06287037037037037,374.45403590000024
medium,108,58,0.14,2000,1195,0.5975,0.5758400807862383,0.6187860812816617,17603,0.08149537037037037,469.3129192999995
medium,108,58,0.15,2000,1360,0.68,0.6592273915492387,0.7000824461145768,21589,0.09994907407407408,527.7040686999999
medium,108,58,0.16,2000,1533,0.7665,0.7474585073392622,0.7845196689796644,25975,0.12025462962962963,564.0206799999996
large,144,74,0.08,1500,147,0.098,0.08396490373850712,0.11408893384651514,1753,0.008115740740740741,89.55695490000016
large,144,74,0.1,2000,418,0.209,0.1917464468029053,0.2273693156405932,4948,0.017180555555555557,117.4491534
large,144,74,0.11,2000,577,0.2885,0.26906392752509684,0.3087470132199201,7504,0.026055555555555554,186.67673000000002
large,144,74,0.12,2000,755,0.3775,0.3565083114561873,0.3989613823559384,10880,0.03777777777777778,235.3687403
large,144,74,0.13,2000,970,0.485,0.46314614093272294,0.5069113725952925,15699,0.054510416666666665,310.95368599999995
large,144,74,0.14,2000,1179,0.5895,0.5677888671609578,0.6108679687885504,21583,0.07494097222222222,313.7053091
large,144,74,0.15,2000,1370,0.685,0.6643034592211275,0.7049872072666828,26414,0.09171527777777778,809.5494514999998
large,144,74,0.16,2000,1580,0.79,0.7716014210087279,0.8072866507829748,33680,0.11694444444444445,967.2513239
tiny,18,10,0.08,1500,198,0.132,0.11580615399367528,0.15007397593490235,751,0.027814814814814817,7.491637199999985
tiny,18,10,0.1,2000,445,0.2225,0.20481298844177928,0.2412510118265054,1824,0.050666666666666665,35.30049439999999
tiny,18,10,0.11,2000,574,0.287,0.2675975298565808,0.3072191622412377,2224,0.06177777777777778,54.8696348
tiny,18,10,0.12,2000,694,0.347,0.3264489521219608,0.36813768586379614,2759,0.0766388888888889,44.234490100000016
tiny,18,10,0.13,2000,779,0.3895,0.3683596567877707,0.4110640262019426,3170,0.08805555555555555,33.83191969999996
tiny,18,10,0.14,2000,863,0.4315,0.40994489706223386,0.4533177480490364,3523,0.09786111111111111,34.7261024
tiny,18,10,0.15,2000,1007,0.5035,0.4816013746751562,0.5253852055016401,4087,0.11352777777777778,44.8732991
tiny,18,10,0.16,2000,1100,0.55,0.5281212197415378,0.5716870684984109,4494,0.12483333333333334,46.17764579999999
