Day 6 — Metropolis FER vs p sweep
  seed: 20260526    sweeps: 200    trials/cell: 1000
  decoder: NishimoriMetropolis (Sourlas-Nishimori, T=1)

   code    n    k       p  trials      FER   FER_lo   FER_hi      SER      BER     sec
--------------------------------------------------------------------------------------------
   tiny   18   10  0.0050    1000   0.0040   0.0016   0.0102   0.0009   0.0006    14.1
   tiny   18   10  0.0100    1000   0.0070   0.0034   0.0144   0.0013   0.0008    14.3
   tiny   18   10  0.0200    1000   0.0240   0.0162   0.0355   0.0047   0.0032    14.2
   tiny   18   10  0.0300    1000   0.0470   0.0355   0.0619   0.0094   0.0063    13.9
   tiny   18   10  0.0500    1000   0.0880   0.0720   0.1072   0.0180   0.0121    14.9
   tiny   18   10  0.0700    1000   0.1600   0.1386   0.1840   0.0366   0.0243    12.9
   tiny   18   10  0.1000    1000   0.2490   0.2232   0.2767   0.0643   0.0429    13.9
   tiny   18   10  0.1300    1000   0.4030   0.3730   0.4337   0.1117   0.0738    14.1
   tiny   18   10  0.1600    1000   0.5290   0.4980   0.5598   0.1577   0.1045    14.2
   tiny   18   10  0.2000    1000   0.6850   0.6555   0.7130   0.2278   0.1515    12.7
  small   72   42  0.0050    1000   0.0010   0.0002   0.0056   0.0001   0.0001    50.6
  small   72   42  0.0100    1000   0.0050   0.0021   0.0117   0.0005   0.0003    50.0
  small   72   42  0.0200    1000   0.0240   0.0162   0.0355   0.0023   0.0015    48.9
  small   72   42  0.0300    1000   0.0600   0.0469   0.0765   0.0064   0.0042    99.6
  small   72   42  0.0500    1000   0.1810   0.1584   0.2061   0.0224   0.0149   234.4
  small   72   42  0.0700    1000   0.3460   0.3172   0.3760   0.0485   0.0323   124.8
  small   72   42  0.1000    1000   0.6130   0.5824   0.6427   0.1068   0.0714    88.1
  small   72   42  0.1300    1000   0.8070   0.7814   0.8303   0.1699   0.1132   232.8
  small   72   42  0.1600    1000   0.9210   0.9026   0.9362   0.2329   0.1556   233.1
  small   72   42  0.2000    1000   0.9810   0.9705   0.9878   0.2987   0.2000   236.6
 medium  108   58  0.0050    1000   0.0000   0.0000   0.0038   0.0000   0.0000   303.4
 medium  108   58  0.0100    1000   0.0020   0.0005   0.0073   0.0001   0.0001   339.7
 medium  108   58  0.0200    1000   0.0140   0.0084   0.0234   0.0007   0.0005   321.2
 medium  108   58  0.0300    1000   0.0320   0.0228   0.0448   0.0018   0.0012   342.0
 medium  108   58  0.0500    1000   0.1120   0.0939   0.1331   0.0073   0.0048   347.0
 medium  108   58  0.0700    1000   0.2350   0.2098   0.2623   0.0199   0.0135   347.7
 medium  108   58  0.1000    1000   0.4900   0.4591   0.5210   0.0587   0.0394   125.8
 medium  108   58  0.1300    1000   0.7460   0.7181   0.7720   0.1172   0.0785   112.2
 medium  108   58  0.1600    1000   0.9100   0.8907   0.9262   0.1879   0.1252   107.8
 medium  108   58  0.2000    1000   0.9900   0.9817   0.9946   0.2736   0.1820   109.9
  large  144   74  0.0050    1000   0.0060   0.0028   0.0130   0.0002   0.0001   146.9
  large  144   74  0.0100    1000   0.0110   0.0062   0.0196   0.0003   0.0002   143.7
  large  144   74  0.0200    1000   0.0460   0.0347   0.0608   0.0012   0.0008   143.9
  large  144   74  0.0300    1000   0.0900   0.0738   0.1093   0.0025   0.0017   124.9
  large  144   74  0.0500    1000   0.1860   0.1631   0.2113   0.0071   0.0047   130.4
  large  144   74  0.0700    1000   0.3160   0.2879   0.3455   0.0158   0.0106   142.5
  large  144   74  0.1000    1000   0.5500   0.5190   0.5806   0.0469   0.0313   146.1
  large  144   74  0.1300    1000   0.8020   0.7762   0.8255   0.1051   0.0701   145.2
  large  144   74  0.1600    1000   0.9510   0.9358   0.9627   0.1842   0.1226   147.5
  large  144   74  0.2000    1000   0.9940   0.9870   0.9972   0.2729   0.1822   147.1
